Country,iso3,Year,SPAR_Overall,C.1.1.1,C.1,C.2.1.1,C.2.1.2,C.2,C.3.1.1,C.3.2.1,C.3,C.4.1.1,C.4.2.1,C.4,C.5.1.1,C.5.2.1,C.5,C.6.1.1,C.6,C.7.1.1,C.7,C.8.1.1,C.8.2.1,C.8,C.9.1.1,C.9.2.1,C.9.3.1,C.9,C.10.1.1,C.10,C.11.1.1,C.11,C.12.1.1,C.12,C.13.1.1,C.13,C.1.1,C.1.2,C.1.3,C.2.1,C.2.2,C.3.1,C.4.1,C.5.1,C.5.2,C.5.3,C.6.1,C.6.2,C.7.1,C.8.1,C.8.2,C.8.3,C.9.1,C.9.2,C.9.3,C.10.1,C.11.1,C.11.2,C.12.1,C.13.1,C.2.3,C.3.2,C.4.2,C.4.3,C.4.4,C.4.5,C.7.2,C.7.3,C.10.2,C.10.3,C.11.3,C.14.1,C.14,C.15.1,C.15
ZAF,ZAF,2015,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,SSD,2015,49.0,67.0,67.0,100.0,60.0,80.0,80.0,70.0,75.0,89.0,50.0,69.0,100.0,80.0,90.0,57.0,57.0,100.0,100.0,83.0,20.0,52.0,27.0,25.0,100.0,51.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,SDN,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,TGO,2015,67.0,33.0,33.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,88.0,88.0,67.0,60.0,63.0,57.0,57.0,80.0,80.0,92.0,80.0,86.0,73.0,0.0,0.0,24.0,100.0,100.0,73.0,73.0,46.0,46.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,TUN,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,UGA,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,TZA,2015,66.0,67.0,67.0,33.0,80.0,57.0,80.0,70.0,75.0,78.0,75.0,76.0,83.0,20.0,52.0,57.0,57.0,80.0,80.0,58.0,80.0,69.0,45.0,75.0,50.0,57.0,56.0,56.0,87.0,87.0,69.0,69.0,62.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,ZMB,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWE,ZWE,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AUS,2015,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COK,COK,2015,67.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,85.0,100.0,75.0,88.0,100.0,60.0,80.0,71.0,71.0,60.0,60.0,83.0,20.0,52.0,91.0,100.0,100.0,97.0,33.0,33.0,73.0,73.0,0.0,,38.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJI,FJI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIR,KIR,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,MHL,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,FSM,2015,64.0,100.0,100.0,100.0,100.0,100.0,80.0,40.0,60.0,100.0,12.0,56.0,100.0,100.0,100.0,86.0,86.0,60.0,60.0,67.0,60.0,63.0,82.0,100.0,100.0,94.0,44.0,44.0,47.0,47.0,8.0,8.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRU,NRU,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,NZL,2015,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,80.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,92.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIU,NIU,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLW,PLW,2015,91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,67.0,60.0,63.0,91.0,100.0,83.0,91.0,100.0,100.0,100.0,100.0,92.0,92.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,PNG,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSM,WSM,2015,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,88.0,88.0,83.0,60.0,72.0,86.0,86.0,80.0,80.0,75.0,80.0,78.0,91.0,100.0,67.0,86.0,56.0,56.0,80.0,80.0,46.0,46.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLB,SLB,2015,58.0,33.0,33.0,33.0,80.0,57.0,100.0,70.0,85.0,100.0,88.0,94.0,67.0,20.0,43.0,86.0,86.0,40.0,40.0,100.0,80.0,90.0,55.0,75.0,67.0,65.0,56.0,56.0,53.0,53.0,15.0,15.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TON,TON,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUV,TUV,2015,89.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,75.0,89.0,100.0,94.0,100.0,100.0,100.0,86.0,86.0,100.0,100.0,100.0,100.0,100.0,91.0,100.0,100.0,97.0,89.0,89.0,87.0,87.0,77.0,77.0,54.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VUT,VUT,2015,44.0,67.0,67.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,62.0,50.0,20.0,35.0,43.0,43.0,0.0,,83.0,80.0,82.0,45.0,25.0,33.0,35.0,0.0,,40.0,40.0,8.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
